id;hotel_name;hotel_city;hotel_price;hotel_type;hotel_rating;total_review;link
1000000643090;Grand Mercure Yogyakarta Adi Sucipto;Yogyakarta;Rp 1.173.000;Hotels;08.06;2076;https://ik.imagekit.io/tvlk/apr-asset/rvN7CENfvyT2YVqT-7R6UjRIibYDnsWI+-nAv8mJ7GI=/82014/photos/69538169_XL.jpg?tr=q-40
48681;The Jayakarta Yogyakarta Hotel Spa;Yogyakarta;Rp 1.062.500;Hotels;08.03;4689;https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10000801-209369c28198a55e34f80275f4294c0f.jpeg?tr=q-40
3000010002676;h Boutique Hotel Jogjakarta;Yogyakarta;Rp 750.792;Hotels;08.05;5853;https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10002676-4096x2731-FIT_AND_TRIM-2b9be60207639026d5c5d06618b6a570.jpeg?tr=q-40
3000020001130;Sheraton Mustika Yogyakarta Resort Spa;Yogyakarta;Rp 2.240.738;Hotels;08.05;2180;https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20001130-9b88cfd2e127363352f752054225a53b.jpeg?tr=q-40
564300;Cavinton Hotel Yogyakarta by Tritama Hospitality;Yogyakarta;Rp 1.710.110;Hotels;08.06;2098;https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10001367-1280x853-FIT_AND_TRIM-1f62f1408c1e7ae1904245ff0199d6c6.jpeg?tr=q-40
9000000927644;All Nite Day Hotel Yogyakarta - Gejayan;Yogyakarta;Rp 510.000;Hotels;08.04;888;https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20045376-b5745e2746ff05f3f1626cbaa43a00b1.jpeg?tr=q-40
9000000927698;Royal Malioboro by ASTON;Yogyakarta;Rp 1.944.000;Hotels;08.09;691;https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20034478-bf9fcb60220e7c8087865518a52f1258.jpeg?tr=q-40
1000001697872;Aveta Hotel Malioboro;Yogyakarta;Rp 1.396.500;Hotels;08.03;1120;https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20018167-8a5ad8c2be7c9293dd66f929fc4ef49d.jpeg?tr=q-40
3000020016568;Grand Senyum Hotel Tugu;Yogyakarta;Rp 1.580.000;Hotels;08.07;1525;https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20016568-c04f1ad59a1a752ae5324887d2f8a463.jpeg?tr=q-40
8424;ibis Yogyakarta Malioboro;Yogyakarta;Rp 1.599.999;Hotels;08.04;4286;https://ik.imagekit.io/tvlk/apr-asset/TzEv3ZUmG4-4Dz22hvmO9NUDzw1DGCIdWl4oPtKumOg=/hotels/1000000/530000/525000/524991/a6b46782_z.jpg?tr=q-40
281804;The Victoria Hotel Yogyakarta;Yogyakarta;Rp 1.080.000;Hotels;08.06;6667;https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10000839-1024x768-FIT_AND_TRIM-2444f4e9b24343acef2e1d4356da85c6.jpeg?tr=q-40
3000010040445;Grand Keisha Yogyakarta;Yogyakarta;Rp 810.000;Hotels;08.09;4620;https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10040445-399f763e63d7812e8e526b67785362c3.jpeg?tr=q-40
3000010008792;Grand Kangen Hotel Urip Sumoharjo Yogyakarta;Yogyakarta;Rp 934.999;Hotels;08.05;8982;https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10008792-c829c5581c74f97a22e557ccb8600bb0.jpeg?tr=q-40
2000000098697;Grage Jogja Malioboro;Yogyakarta;Rp 1.124.999;Hotels;08.05;3586;https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10001041-0e4c39e4d7faf534edc040352b161dd0.jpeg?tr=q-40
9000000974039;ARTOTEL Suites Bianti - Yogyakarta;Yogyakarta;Rp 1.170.000;Hotels;08.06;98;https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20054445-45eab600f7abbae38fcedb283c81b80a.jpeg?tr=q-40
3000020018502;PULANG ke UTTARA;Yogyakarta;Rp 765.000;Apartments;08.07;1061;https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/67747427-1100x900-FIT_AND_TRIM-7e95f1837e6f28893ae06c810f5327dd.jpeg?tr=q-40
3000010016184;Swiss-Belboutique Yogyakarta;Yogyakarta;Rp 1.300.000;Hotels;09.00;2017;https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10016184-db26105283347c5772da9f54bcb3cc0b.jpeg?tr=q-40
3000010001202;Merapi Merbabu Hotels Resort Yogyakarta;Yogyakarta;Rp 645.999;Hotels;08.02;3437;https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10001202-deeb6d62cf311e2a65e270dd4c8b2cda.jpeg?tr=q-40
9000000928841;Grand Rohan Jogja;Yogyakarta;Rp 665.100;Hotels;08.06;280;https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20046605-27a13e9a75c8fa5953c84e19fc326329.jpeg?tr=q-40
3000010010577;Amaris Hotel Malioboro - Jogja;Yogyakarta;Rp 725.000;Hotels;08.06;6605;https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10010577-44b26f0fe8e8f833c9c9d4117bd919d6.jpeg?tr=q-40
3000010023653;Platinum Adisucipto Yogyakarta Hotel Conference;Yogyakarta;Rp 583.200;Hotels;08.08;3963;https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10023653-930ed9a9941150e4a2f6d01cafed1d7b.jpeg?tr=q-40
1000000572520;KHAS Malioboro Hotel;Yogyakarta;Rp 1.706.068;Hotels;08.06;3470;https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10018409-97ee1a13316f2bb5646003f05df9c136.jpeg?tr=q-40
10335;Grand Mirage Resort Thalasso Bali;Bali;Rp 2.398.115;Resorts;08.05;439;https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10002072-2048x1536-FIT_AND_TRIM-f884fd3b753254785472b49a09a02b0a.jpeg?tr=q-40
9000000134730;Brits Hotel Legian;Bali;Rp 635.375;Hotels;08.05;856;https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20024643-249b3ca9a2aa07fe12294c4dc0bfd02a.jpeg?tr=q-40
291134;HARRIS Hotel Residences Sunset Road;Bali;Rp 516.600;Hotels;08.05;2226;https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10002767-2304x1536-FIT_AND_TRIM-eac59338ad2e6e1305d9156e3908e74a.jpeg?tr=q-40
3000020015863;Lloyd's Inn Bali;Bali;Rp 889.200;Hotels;08.06;1163;https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20015863-e583a67db131c71537a0623cce93b597.jpeg?tr=q-40
1251;Prime Plaza Hotel Sanur ñ Bali;Bali;Rp 787.968;Resorts;08.05;1220;https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10000547-aa5f39e90c1bf824fa75fd51de4d13f8.jpeg?tr=q-40
1000000524503;Padma Resort Ubud;Bali;Rp 5.880.000;Resorts;09.01;953;https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10033211-ca55ae0256eb0d170b9dece223c8b71a.jpeg?tr=q-40
65538;The Patra Bali Resort Villas;Bali;Rp 1.776.180;Resorts;08.08;702;https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10001457-40fa3a4085a4938316128d613a7df561.jpeg?tr=q-40
